state,year,barley,corn,oats,soybeans
ALABAMA,2022,,118,,41
ALASKA,2022,42,,,
ARIZONA,2022,133,220,,
ARKANSAS,2022,,173,61,52
CALIFORNIA,2022,55,177,65,
COLORADO,2022,111,121,,
CONNECTICUT,2022,,20,,
DELAWARE,2022,87,170,,43
FLORIDA,2022,,164,,
GEORGIA,2022,,175,51,41
HAWAII,2022,,,,
IDAHO,2022,111,216,64,
ILLINOIS,2022,,214,83,63
INDIANA,2022,,190,,57.5
IOWA,2022,,200,80,58.5
KANSAS,2022,33,115,41,27.5
KENTUCKY,2022,,156,,51
LOUISIANA,2022,,170,,47
MAINE,2022,65,17,86,
MARYLAND,2022,82,165,,43
MASSACHUSETTS,2022,,15,,
MICHIGAN,2022,50,168,61,47
MINNESOTA,2022,72,195,59,50
MISSISSIPPI,2022,,165,,54
MISSOURI,2022,,161,52,45.5
MONTANA,2022,41,112,38,
NEBRASKA,2022,,165,51,49
NEVADA,2022,,22,,
NEW HAMPSHIRE,2022,,19,,
NEW JERSEY,2022,,115,,28
NEW MEXICO,2022,,149,,
NEW YORK,2022,61,140,54,45
NORTH CAROLINA,2022,69,126,77,38.5
NORTH DAKOTA,2022,73,131,71,35
OHIO,2022,,187,70,55.5
OKLAHOMA,2022,,122,20,17
OREGON,2022,55,237,105,
PENNSYLVANIA,2022,67,140,59,43
RHODE ISLAND,2022,,16,,
SOUTH CAROLINA,2022,,122,,37
SOUTH DAKOTA,2022,54,132,80,38
TENNESSEE,2022,,130,,48
TEXAS,2022,,95,55,20
UTAH,2022,82,165,,
VERMONT,2022,,19,,
VIRGINIA,2022,86,167,,41
WASHINGTON,2022,84,220,,
WEST VIRGINIA,2022,,168,,
WISCONSIN,2022,55,180,74,54
WYOMING,2022,93,153,,
